 5.4846680E-02          LIEPOX
 3.5703151E-05      CO235C6OOH
 7.1015177E-04      BZOBIPEROH
 4.3031463E-08      C5CO2DCO3H
 3.0915159E-03         C6H5OOH
 1.7725324E-04         NBZQOOH
 1.0911444E-04         C716OOH
 6.9679138E-05         C721OOH
 7.7105025E-05         C722OOH
 1.7136737E-02         CH3CO3H
 9.1449931E-05      HCOCOHCO3H
 1.1661682E-03      TLOBIPEROH
 5.1718998E-04      C6H5CH2NO3
 1.7142596E-03        NPTLQOOH
 1.3148647E-03         C810OOH
 1.7788570E-04         C813OOH
 2.7127486E-03          C85OOH
 2.1517213E-03          C86OOH
 4.4656810E-04         C89CO2H
 2.2521121E-04         C89CO3H
 2.5675121E-03          C96OOH
 8.3447966E-04          C98OOH
 1.2250632E-03         C106OOH
 1.0977614E-05         RO6R3O2
 1.2050772E-06        RO6R1NO3
 1.4142897E-04       ROO6R1NO3
 1.7668620E-07      LAPINABNO3
 5.7300834E-03     LNAPINABOOH
 9.9309244E-01            NHOH
 7.4493700E-02       HOCH2CH2O
 4.6830389E-04         PINONIC
 2.3640919E-04        IC4H9OOH
 2.9167356E-01          MACO2H
 5.0832255E-06      PERIBUACID
 3.9302604E-03         C2H5OOH
 6.8207138E-04       HCOCOHPAN
 4.1742342E-04       C3DIALOOH
 1.7019857E-05       BUT2OLNO3
 5.8664564E-04       C312COPAN
 6.1038111E-05          C4PAN5
 6.8942833E-05      IBUTOLBNO3
 4.2226575E-03        EPXDLPAN
 4.2032328E-03      MALDIALPAN
 1.2284141E-03   C1OOHC3O2C4OD
 3.5700205E-05         C513OOH
 1.0198677E-04      PERPROACID
 7.1153671E-04       C5DIALOOH
 2.3989196E-04          C5PAN9
 3.9658540E-04      CHOC3COPAN
 1.9924265E-09          DB1NO3
 4.5939173E-08       NC4OHCPAN
 2.1880269E-03       ACCOMEPAN
 5.1762635E-05      C4CO2DBPAN
 2.6102869E-03       C5COO2NO2
 3.4452690E-04  LZCPANC23DBCOD
 2.8234761E-04         C614OOH
 2.7392880E-03         BENZENE
 7.1339824E-04      BZBIPEROOH
 1.9139796E-04        BZEMUCCO
 8.7973427E-04          C3PAN2
 4.0568719E-06      C5COOHCO3H
 4.8768660E-04      C615CO2OOH
 1.3937078E-04       BZEMUCPAN
 1.5437245E-06      C5CO2DBPAN
 2.8273880E-04      C5CO2OHPAN
 2.7660960E-06       DNPHENOOH
 4.2855429E-04       NCATECOOH
 1.7174436E-02      NNCATECOOH
 3.6672498E-03        NPHENOOH
 2.3434619E-06      C6COOHCO3H
 9.4764596E-05      HOOCH2CO3H
 1.6879519E-04        TLEMUCCO
 2.4164090E-05          C7PAN3
 7.7497395E-04      C6CO2OHPAN
 2.3552013E-07       DNCRESOOH
 3.9168000E-05      MNCATECOOH
