   Interval Wave (nm)        QENO2         ANO20       TDEPNO2      
        102     345.0  988.00004E-03   406.50000E-21  -189.00000E-24
        103     350.0  986.99999E-03   431.29998E-21  -121.90000E-24
        104     355.0  985.99994E-03   471.69995E-21  -192.10001E-24
        105     360.0  984.00003E-03   483.30002E-21  -109.50000E-24
        106     365.0  982.99998E-03   516.59999E-21  -132.20001E-24
        107     370.0  981.00007E-03   531.49999E-21  -110.20001E-24
        108     375.0  978.99997E-03   550.79998E-21   -80.60000E-24
        109     380.0  974.40004E-03   564.39996E-21   -86.70000E-24
        110     385.0  969.00004E-03   575.69997E-21   -94.50000E-24
        111     390.0  960.39999E-03   592.69998E-21   -92.30000E-24
        112     395.0  927.39999E-03   584.49999E-21   -73.80000E-24
        113     400.0  693.99995E-03   602.09996E-21   -59.90000E-24
        114     405.0  354.99999E-03   578.09999E-21   -54.50000E-24
        115     410.0  134.40000E-03   599.90002E-21  -112.89999E-24
        116     415.0   59.80000E-03   565.09996E-21   100.00001E-27
        117     420.0   18.20000E-03   581.19995E-21  -120.80000E-24
        118     425.0  800.00004E-06    0.00000E+00     0.00000E+00
        119     430.0   0.00000E+00    0.00000E+00     0.00000E+00
        120     435.0   0.00000E+00    0.00000E+00     0.00000E+00
        121     440.0   0.00000E+00    0.00000E+00     0.00000E+00
        122     445.0   0.00000E+00    0.00000E+00     0.00000E+00
        123     450.0   0.00000E+00    0.00000E+00     0.00000E+00
        124     455.0   0.00000E+00    0.00000E+00     0.00000E+00
        125     460.0   0.00000E+00    0.00000E+00     0.00000E+00
        126     465.0   0.00000E+00    0.00000E+00     0.00000E+00
        127     470.0   0.00000E+00    0.00000E+00     0.00000E+00
        128     475.0   0.00000E+00    0.00000E+00     0.00000E+00
        129     480.0   0.00000E+00    0.00000E+00     0.00000E+00
        130     485.0   0.00000E+00    0.00000E+00     0.00000E+00
        131     490.0   0.00000E+00    0.00000E+00     0.00000E+00
        132     495.0   0.00000E+00    0.00000E+00     0.00000E+00
        133     500.0   0.00000E+00    0.00000E+00     0.00000E+00
        134     505.0   0.00000E+00    0.00000E+00     0.00000E+00
        135     510.0   0.00000E+00    0.00000E+00     0.00000E+00
        136     515.0   0.00000E+00    0.00000E+00     0.00000E+00
        137     520.0   0.00000E+00    0.00000E+00     0.00000E+00
        138     525.0   0.00000E+00    0.00000E+00     0.00000E+00
        139     530.0   0.00000E+00    0.00000E+00     0.00000E+00
        140     535.0   0.00000E+00    0.00000E+00     0.00000E+00
        141     540.0   0.00000E+00    0.00000E+00     0.00000E+00
        142     545.0   0.00000E+00    0.00000E+00     0.00000E+00
        143     550.0   0.00000E+00    0.00000E+00     0.00000E+00
        144     555.0   0.00000E+00    0.00000E+00     0.00000E+00
        145     560.0   0.00000E+00    0.00000E+00     0.00000E+00
        146     565.0   0.00000E+00    0.00000E+00     0.00000E+00
        147     570.0   0.00000E+00    0.00000E+00     0.00000E+00
        148     575.0   0.00000E+00    0.00000E+00     0.00000E+00
        149     580.0   0.00000E+00    0.00000E+00     0.00000E+00
        150     585.0   0.00000E+00    0.00000E+00     0.00000E+00
        151     590.0   0.00000E+00    0.00000E+00     0.00000E+00
        152     595.0   0.00000E+00    0.00000E+00     0.00000E+00
        153     600.0   0.00000E+00    0.00000E+00     0.00000E+00
        154     605.0   0.00000E+00    0.00000E+00     0.00000E+00
        155     610.0   0.00000E+00    0.00000E+00     0.00000E+00
        156     615.0   0.00000E+00    0.00000E+00     0.00000E+00
        157     620.0   0.00000E+00    0.00000E+00     0.00000E+00
        158     625.0   0.00000E+00    0.00000E+00     0.00000E+00
        159     630.0   0.00000E+00    0.00000E+00     0.00000E+00
        160     635.0   0.00000E+00    0.00000E+00     0.00000E+00
        161     640.0   0.00000E+00    0.00000E+00     0.00000E+00
        162     645.0   0.00000E+00    0.00000E+00     0.00000E+00
        163     650.0   0.00000E+00    0.00000E+00     0.00000E+00
        164     655.0   0.00000E+00    0.00000E+00     0.00000E+00
        165     660.0   0.00000E+00    0.00000E+00     0.00000E+00
        166     665.0   0.00000E+00    0.00000E+00     0.00000E+00
        167     670.0   0.00000E+00    0.00000E+00     0.00000E+00
        168     675.0   0.00000E+00    0.00000E+00     0.00000E+00
        169     680.0   0.00000E+00    0.00000E+00     0.00000E+00
        170     685.0   0.00000E+00    0.00000E+00     0.00000E+00
        171     690.0   0.00000E+00    0.00000E+00     0.00000E+00
        172     695.0   0.00000E+00    0.00000E+00     0.00000E+00
        173     700.0   0.00000E+00    0.00000E+00     0.00000E+00
        174     705.0   0.00000E+00    0.00000E+00     0.00000E+00
        175     710.0   0.00000E+00    0.00000E+00     0.00000E+00
