   INTERVAL        nm        cm-1  Irradiance
        168     675.0     14814.8   2.620E+15
        169     680.0     14705.9   2.620E+15
        170     685.0     14598.5   2.570E+15
        171     690.0     14492.8   2.520E+15
        172     695.0     14388.5   2.600E+15
        173     700.0     14285.7   2.580E+15
        174     705.0     14184.4   2.520E+15
        175     710.0     14084.5   2.510E+15
        176     715.0     13986.0   2.480E+15
        177     720.0     13888.9   2.450E+15
        178     725.0     13793.1   2.480E+15
        179     730.0     13698.6   2.450E+15
        180     735.0     13605.4   2.440E+15
        181     740.0     13513.5   2.390E+15
        182     745.0     13422.8   2.400E+15
        183     750.0     13333.3   2.410E+15
        184     755.0     13245.0   2.400E+15
        185     760.0     13157.9   2.380E+15
        186     765.0     13071.9   2.340E+15
        187     770.0     12987.0   2.320E+15
        188     775.0     12903.2   2.300E+15
        189     780.0     12820.5   2.330E+15
        190     785.0     12738.9   2.340E+15
        191     790.0     12658.2   2.290E+15
        192     795.0     12578.6   2.290E+15
        193     800.0     12500.0   2.270E+15
        194     805.0     12422.4   2.270E+15
        195     810.0     12345.7   2.200E+15
        196     815.0     12269.9   2.220E+15
        197     820.0     12195.1   2.180E+15
        198     825.0     12121.2   2.200E+15
        199     830.0     12048.2   2.140E+15
        200     835.0     11976.0   2.140E+15
        201     840.0     11904.8   2.130E+15
        202     845.0     11834.3   2.090E+15
        203     850.0     11764.7   2.050E+15

For intervals 1-10 Ackerman.

For intervals 11-116, Lean et al., JGR 102, 29939-29956 (1997)
average between solar max and solar min.

For intervals 117-203, WMO Report No. 16, Vol. 1, pp. 355-362, (1985).
