 int. wave (nm)     HOBr            BrO
  150     585.0      0.0000  0.0000e+00
  151     590.0      0.0000  0.0000e+00
  152     595.0      0.0000  0.0000e+00
  153     600.0      0.0000  0.0000e+00
  154     605.0      0.0000  0.0000e+00
  155     610.0      0.0000  0.0000e+00
  156     615.0      0.0000  0.0000e+00
  157     620.0      0.0000  0.0000e+00
  158     625.0      0.0000  0.0000e+00
  159     630.0      0.0000  0.0000e+00
  160     635.0      0.0000  0.0000e+00
  161     640.0      0.0000  0.0000e+00
  162     645.0      0.0000  0.0000e+00
  163     650.0      0.0000  0.0000e+00
  164     655.0      0.0000  0.0000e+00
  165     660.0      0.0000  0.0000e+00
  166     665.0      0.0000  0.0000e+00
  167     670.0      0.0000  0.0000e+00
  168     675.0      0.0000  0.0000e+00
  169     680.0      0.0000  0.0000e+00
  170     685.0      0.0000  0.0000e+00
  171     690.0      0.0000  0.0000e+00
  172     695.0      0.0000  0.0000e+00
  173     700.0      0.0000  0.0000e+00
  174     705.0      0.0000  0.0000e+00
  175     710.0      0.0000  0.0000e+00
  176     715.0      0.0000  0.0000e+00
  177     720.0      0.0000  0.0000e+00
  178     725.0      0.0000  0.0000e+00
  179     730.0      0.0000  0.0000e+00
  180     735.0      0.0000  0.0000e+00
  181     740.0      0.0000  0.0000e+00
  182     745.0      0.0000  0.0000e+00
  183     750.0      0.0000  0.0000e+00
  184     755.0      0.0000  0.0000e+00
  185     760.0      0.0000  0.0000e+00
  186     765.0      0.0000  0.0000e+00
  187     770.0      0.0000  0.0000e+00
  188     775.0      0.0000  0.0000e+00
  189     780.0      0.0000  0.0000e+00
  190     785.0      0.0000  0.0000e+00
  191     790.0      0.0000  0.0000e+00
  192     795.0      0.0000  0.0000e+00
  193     800.0      0.0000  0.0000e+00
  194     805.0      0.0000  0.0000e+00
  195     810.0      0.0000  0.0000e+00
  196     815.0      0.0000  0.0000e+00
  197     820.0      0.0000  0.0000e+00
  198     825.0      0.0000  0.0000e+00
  199     830.0      0.0000  0.0000e+00
  200     835.0      0.0000  0.0000e+00
  201     840.0      0.0000  0.0000e+00
  202     845.0      0.0000  0.0000e+00
  203     850.0      0.0000  0.0000e+00

HOBr crosssec. JPL97 (Rattigan)
BrO cross sec  JPL97 Table 53 (average)
